#
# Ce fichier permet d'encoder les cours disponible ou non disponible d'un élève
# 1 : Disponible   0 : Non disponible
# Format : Nom du cours;Disponibilité
# Exemple : Algo;1        -> Indique que je dois encore passer le cours d'algo
#			apoo;0        -> Indique que je ne dois plus passer le cours de apoo
# /!\ Attention l'ordre des cours dans ce fichier dois être le même que le fichier cours.txt  /!\
Algo;0
apoo;0
ianarch;0
progra Web;0
sd;0
intro à l os;0
Fonctionnement ordinateur;0
Economie et comptabilité;0
math1;0
math2;0
projet developpement web;0
Anglais 1;0
c;1
Programmation Avancée en Java;1
Analyse et Conception;1
Gestion des Données;1
Programmation Web avancée;1
Systeme informatique : principes et protocoles;1
Internet : principes et protocoles avances;1
Organisation des entreprises;1
Design d'application entreprise;1
Unix;1
Informatique mobile;1
Anglais 2;1
Programmation Java : Questions Speciale;1
Administration et Securité des Systemes;1
Administration et Secrité des Reseaux;1
Anlgais 3;1
Mise en situation professionelle;1
Activité d'intégration en milieu professionel;1
Intelligence artificielle;1
Remlissage;1
